weight,1650,1651,1652,1653,1654,1655,1656,1657
20,12.58,8.15,20.13,8.15,12.58,8.15,8.15,20.13
20,6.25,-5.08,4.31,-5.08,6.25,-5.08,-5.08,4.31
20,5.71,6.68,6.28,6.68,5.71,6.68,6.68,6.28
20,25.38,23.75,18.83,23.75,25.38,23.75,23.75,18.83
20,14.29,12.8,11.13,12.8,14.29,12.8,12.8,11.13
20,0.39,-5.85,-1.57,-5.85,0.39,-5.85,-5.85,-1.57
20,10.34,7.32,0.1,7.32,10.34,7.32,7.32,0.1
20,10.3,8.9,13.96,8.9,10.3,8.9,8.9,13.96
20,23.77,25.43,24.73,25.43,23.77,25.43,25.43,24.73
20,8.26,6.52,8.91,6.52,8.26,6.52,6.52,8.91
20,11.84,8.97,14.2,8.97,11.84,8.97,8.97,14.2
20,5.99,5.42,11.37,5.42,5.99,5.42,5.42,11.37
20,30.81,30.22,30.41,30.22,30.81,30.22,30.22,30.41
20,21.36,24.25,24.86,24.25,21.36,24.25,24.25,24.86
20,17.21,14.87,13.9,14.87,17.21,14.87,14.87,13.9
20,26.77,23.35,30.25,23.35,26.77,23.35,23.35,30.25
20,23,25.08,16.4,25.08,23,25.08,25.08,16.4
20,5.79,13.94,9.67,13.94,5.79,13.94,13.94,9.67
20,3.96,-10.45,0.09,-10.45,3.96,-10.45,-10.45,0.09
